... loading data
... building the model
... training the model
     epoch 78, minibatch 83/83, test error of best model 7.395833 %
epoch 79, minibatch 83/83, validation error 7.187500 %
epoch 80, minibatch 83/83, validation error 7.187500 %
epoch 81, minibatch 83/83, validation error 7.208333 %
epoch 82, minibatch 83/83, validation error 7.218750 %
epoch 83, minibatch 83/83, validation error 7.208333 %
epoch 84, minibatch 83/83, validation error 7.197917 %
epoch 85, minibatch 83/83, validation error 7.145833 %
     epoch 85, minibatch 83/83, test error of best model 7.395833 %
epoch 86, minibatch 83/83, validation error 7.166667 %
epoch 87, minibatch 83/83, validation error 7.187500 %
epoch 88, minibatch 83/83, validation error 7.166667 %
epoch 89, minibatch 83/83, validation error 7.177083 %
epoch 90, minibatch 83/83, validation error 7.135417 %
     epoch 90, minibatch 83/83, test error of best model 7.354167 %
epoch 91, minibatch 83/83, validation error 7.145833 %
epoch 92, minibatch 83/83, validation error 7.135417 %
epoch 93, minibatch 83/83, validation error 7.104167 %
     epoch 93, minibatch 83/83, test error of best model 7.354167 %
epoch 94, minibatch 83/83, validation error 7.114583 %
epoch 95, minibatch 83/83, validation error 7.145833 %
epoch 96, minibatch 83/83, validation error 7.114583 %
epoch 97, minibatch 83/83, validation error 7.104167 %
epoch 98, minibatch 83/83, validation error 7.114583 %
epoch 99, minibatch 83/83, validation error 7.104167 %
epoch 100, minibatch 83/83, validation error 7.125000 %
epoch 101, minibatch 83/83, validation error 7.104167 %
epoch 102, minibatch 83/83, validation error 7.125000 %
epoch 103, minibatch 83/83, validation error 7.145833 %
epoch 104, minibatch 83/83, validation error 7.166667 %
epoch 105, minibatch 83/83, validation error 7.135417 %
epoch 106, minibatch 83/83, validation error 7.135417 %
epoch 107, minibatch 83/83, validation error 7.104167 %
epoch 108, minibatch 83/83, validation error 7.093750 %
     epoch 108, minibatch 83/83, test error of best model 7.375000 %
epoch 109, minibatch 83/83, validation error 7.062500 %
     epoch 109, minibatch 83/83, test error of best model 7.416667 %
epoch 110, minibatch 83/83, validation error 7.062500 %
     epoch 110, minibatch 83/83, test error of best model 7.385417 %
epoch 111, minibatch 83/83, validation error 7.114583 %
epoch 112, minibatch 83/83, validation error 7.093750 %
epoch 113, minibatch 83/83, validation error 7.072917 %
epoch 114, minibatch 83/83, validation error 7.083333 %
epoch 115, minibatch 83/83, validation error 7.093750 %
epoch 116, minibatch 83/83, validation error 7.114583 %
epoch 117, minibatch 83/83, validation error 7.125000 %
epoch 118, minibatch 83/83, validation error 7.093750 %
epoch 119, minibatch 83/83, validation error 7.083333 %
epoch 120, minibatch 83/83, validation error 7.052083 %
     epoch 120, minibatch 83/83, test error of best model 7.364583 %
epoch 121, minibatch 83/83, validation error 7.093750 %
epoch 122, minibatch 83/83, validation error 7.062500 %
epoch 123, minibatch 83/83, validation error 7.000000 %
     epoch 123, minibatch 83/83, test error of best model 7.312500 %
epoch 124, minibatch 83/83, validation error 7.041667 %
epoch 125, minibatch 83/83, validation error 7.020833 %
epoch 126, minibatch 83/83, validation error 7.031250 %
epoch 127, minibatch 83/83, validation error 7.041667 %
epoch 128, minibatch 83/83, validation error 7.020833 %
epoch 129, minibatch 83/83, validation error 7.041667 %
epoch 130, minibatch 83/83, validation error 7.010417 %
epoch 131, minibatch 83/83, validation error 7.020833 %
epoch 132, minibatch 83/83, validation error 7.000000 %
epoch 133, minibatch 83/83, validation error 7.020833 %
epoch 134, minibatch 83/83, validation error 6.989583 %
     epoch 134, minibatch 83/83, test error of best model 7.250000 %
epoch 135, minibatch 83/83, validation error 6.968750 %
     epoch 135, minibatch 83/83, test error of best model 7.229167 %
epoch 136, minibatch 83/83, validation error 6.989583 %
epoch 137, minibatch 83/83, validation error 6.979167 %
epoch 138, minibatch 83/83, validation error 6.958333 %
     epoch 138, minibatch 83/83, test error of best model 7.281250 %
epoch 139, minibatch 83/83, validation error 7.041667 %
epoch 140, minibatch 83/83, validation error 7.020833 %
epoch 141, minibatch 83/83, validation error 7.031250 %
epoch 142, minibatch 83/83, validation error 6.979167 %
epoch 143, minibatch 83/83, validation error 7.020833 %
epoch 144, minibatch 83/83, validation error 6.979167 %
epoch 145, minibatch 83/83, validation error 7.000000 %
epoch 146, minibatch 83/83, validation error 7.000000 %
epoch 147, minibatch 83/83, validation error 7.000000 %
epoch 148, minibatch 83/83, validation error 7.010417 %
epoch 149, minibatch 83/83, validation error 6.989583 %
epoch 150, minibatch 83/83, validation error 7.000000 %
epoch 151, minibatch 83/83, validation error 6.958333 %
epoch 152, minibatch 83/83, validation error 6.979167 %
epoch 153, minibatch 83/83, validation error 6.979167 %
epoch 154, minibatch 83/83, validation error 6.927083 %
     epoch 154, minibatch 83/83, test error of best model 7.218750 %
epoch 155, minibatch 83/83, validation error 6.916667 %
     epoch 155, minibatch 83/83, test error of best model 7.218750 %
epoch 156, minibatch 83/83, validation error 6.916667 %
epoch 157, minibatch 83/83, validation error 6.968750 %
epoch 158, minibatch 83/83, validation error 6.937500 %
epoch 159, minibatch 83/83, validation error 6.927083 %
epoch 160, minibatch 83/83, validation error 6.958333 %
epoch 161, minibatch 83/83, validation error 6.958333 %
epoch 162, minibatch 83/83, validation error 6.968750 %
epoch 163, minibatch 83/83, validation error 6.968750 %
epoch 164, minibatch 83/83, validation error 6.958333 %
epoch 165, minibatch 83/83, validation error 6.968750 %
epoch 166, minibatch 83/83, validation error 6.979167 %
epoch 167, minibatch 83/83, validation error 7.031250 %
epoch 168, minibatch 83/83, validation error 7.010417 %
epoch 169, minibatch 83/83, validation error 6.968750 %
epoch 170, minibatch 83/83, validation error 6.958333 %
epoch 171, minibatch 83/83, validation error 6.979167 %
epoch 172, minibatch 83/83, validation error 7.000000 %
epoch 173, minibatch 83/83, validation error 6.968750 %
epoch 174, minibatch 83/83, validation error 6.979167 %
epoch 175, minibatch 83/83, validation error 6.979167 %
epoch 176, minibatch 83/83, validation error 6.989583 %
epoch 177, minibatch 83/83, validation error 6.979167 %
epoch 178, minibatch 83/83, validation error 6.947917 %
epoch 179, minibatch 83/83, validation error 6.947917 %
epoch 180, minibatch 83/83, validation error 7.000000 %
epoch 181, minibatch 83/83, validation error 6.979167 %
epoch 182, minibatch 83/83, validation error 6.947917 %
epoch 183, minibatch 83/83, validation error 6.895833 %
     epoch 183, minibatch 83/83, test error of best model 7.208333 %
epoch 184, minibatch 83/83, validation error 6.885417 %
     epoch 184, minibatch 83/83, test error of best model 7.218750 %
epoch 185, minibatch 83/83, validation error 6.906250 %
epoch 186, minibatch 83/83, validation error 6.927083 %
epoch 187, minibatch 83/83, validation error 6.937500 %
epoch 188, minibatch 83/83, validation error 6.864583 %
     epoch 188, minibatch 83/83, test error of best model 7.177083 %
epoch 189, minibatch 83/83, validation error 6.916667 %
epoch 190, minibatch 83/83, validation error 6.864583 %
epoch 191, minibatch 83/83, validation error 6.937500 %
epoch 192, minibatch 83/83, validation error 6.864583 %
epoch 193, minibatch 83/83, validation error 6.885417 %
epoch 194, minibatch 83/83, validation error 6.927083 %
epoch 195, minibatch 83/83, validation error 6.885417 %
epoch 196, minibatch 83/83, validation error 6.875000 %
epoch 197, minibatch 83/83, validation error 6.958333 %
epoch 198, minibatch 83/83, validation error 6.937500 %
epoch 199, minibatch 83/83, validation error 6.927083 %
epoch 200, minibatch 83/83, validation error 6.916667 %
epoch 201, minibatch 83/83, validation error 6.937500 %
epoch 202, minibatch 83/83, validation error 6.958333 %
epoch 203, minibatch 83/83, validation error 6.927083 %
epoch 204, minibatch 83/83, validation error 6.895833 %
epoch 205, minibatch 83/83, validation error 6.875000 %
epoch 206, minibatch 83/83, validation error 6.927083 %
epoch 207, minibatch 83/83, validation error 6.875000 %
epoch 208, minibatch 83/83, validation error 6.927083 %
epoch 209, minibatch 83/83, validation error 6.937500 %
epoch 210, minibatch 83/83, validation error 6.947917 %
epoch 211, minibatch 83/83, validation error 6.958333 %
epoch 212, minibatch 83/83, validation error 6.968750 %
epoch 213, minibatch 83/83, validation error 6.927083 %
epoch 214, minibatch 83/83, validation error 6.947917 %
epoch 215, minibatch 83/83, validation error 6.979167 %
epoch 216, minibatch 83/83, validation error 6.947917 %
epoch 217, minibatch 83/83, validation error 6.937500 %
epoch 218, minibatch 83/83, validation error 6.947917 %
epoch 219, minibatch 83/83, validation error 6.927083 %
epoch 220, minibatch 83/83, validation error 6.947917 %
epoch 221, minibatch 83/83, validation error 6.958333 %
epoch 222, minibatch 83/83, validation error 6.947917 %
epoch 223, minibatch 83/83, validation error 6.979167 %
epoch 224, minibatch 83/83, validation error 6.958333 %
epoch 225, minibatch 83/83, validation error 6.979167 %
epoch 226, minibatch 83/83, validation error 6.989583 %
epoch 227, minibatch 83/83, validation error 6.958333 %
epoch 228, minibatch 83/83, validation error 7.000000 %
epoch 229, minibatch 83/83, validation error 6.968750 %
epoch 230, minibatch 83/83, validation error 6.989583 %
epoch 231, minibatch 83/83, validation error 6.937500 %
epoch 232, minibatch 83/83, validation error 7.000000 %
epoch 233, minibatch 83/83, validation error 7.020833 %
epoch 234, minibatch 83/83, validation error 7.020833 %
epoch 235, minibatch 83/83, validation error 7.031250 %
epoch 236, minibatch 83/83, validation error 7.000000 %
epoch 237, minibatch 83/83, validation error 7.000000 %
epoch 238, minibatch 83/83, validation error 6.979167 %
epoch 239, minibatch 83/83, validation error 6.968750 %
epoch 240, minibatch 83/83, validation error 6.968750 %
epoch 241, minibatch 83/83, validation error 6.968750 %
epoch 242, minibatch 83/83, validation error 6.968750 %
epoch 243, minibatch 83/83, validation error 6.947917 %
epoch 244, minibatch 83/83, validation error 6.979167 %
epoch 245, minibatch 83/83, validation error 6.968750 %
Optimization complete with best validation score of 6.864583 %,with test performance 7.177083 %
The code run for 246 epochs, with 2.854144 epochs/sec
