... loading data
... building the model
... training the model
epoch 92, minibatch 83/83, validation error 7.000000 %
     epoch 92, minibatch 83/83, test error of best model 7.270833 %
epoch 93, minibatch 83/83, validation error 7.135417 %
epoch 94, minibatch 83/83, validation error 7.208333 %
epoch 95, minibatch 83/83, validation error 7.135417 %
epoch 96, minibatch 83/83, validation error 7.187500 %
epoch 97, minibatch 83/83, validation error 7.062500 %
epoch 98, minibatch 83/83, validation error 7.072917 %
epoch 99, minibatch 83/83, validation error 7.010417 %
epoch 100, minibatch 83/83, validation error 7.041667 %
epoch 101, minibatch 83/83, validation error 7.031250 %
epoch 102, minibatch 83/83, validation error 6.927083 %
     epoch 102, minibatch 83/83, test error of best model 7.125000 %
epoch 103, minibatch 83/83, validation error 6.968750 %
epoch 104, minibatch 83/83, validation error 7.031250 %
epoch 105, minibatch 83/83, validation error 6.947917 %
epoch 106, minibatch 83/83, validation error 6.927083 %
epoch 107, minibatch 83/83, validation error 7.000000 %
epoch 108, minibatch 83/83, validation error 6.895833 %
     epoch 108, minibatch 83/83, test error of best model 7.239583 %
epoch 109, minibatch 83/83, validation error 7.052083 %
epoch 110, minibatch 83/83, validation error 6.895833 %
     epoch 110, minibatch 83/83, test error of best model 7.239583 %
epoch 111, minibatch 83/83, validation error 7.010417 %
epoch 112, minibatch 83/83, validation error 6.989583 %
epoch 113, minibatch 83/83, validation error 7.020833 %
epoch 114, minibatch 83/83, validation error 6.989583 %
epoch 115, minibatch 83/83, validation error 6.947917 %
epoch 116, minibatch 83/83, validation error 7.000000 %
epoch 117, minibatch 83/83, validation error 7.020833 %
epoch 118, minibatch 83/83, validation error 7.010417 %
epoch 119, minibatch 83/83, validation error 6.989583 %
epoch 120, minibatch 83/83, validation error 7.062500 %
epoch 121, minibatch 83/83, validation error 6.979167 %
epoch 122, minibatch 83/83, validation error 7.052083 %
epoch 123, minibatch 83/83, validation error 7.000000 %
epoch 124, minibatch 83/83, validation error 7.072917 %
epoch 125, minibatch 83/83, validation error 7.062500 %
epoch 126, minibatch 83/83, validation error 7.041667 %
epoch 127, minibatch 83/83, validation error 7.010417 %
epoch 128, minibatch 83/83, validation error 7.000000 %
epoch 129, minibatch 83/83, validation error 7.072917 %
epoch 130, minibatch 83/83, validation error 6.968750 %
epoch 131, minibatch 83/83, validation error 6.937500 %
epoch 132, minibatch 83/83, validation error 6.947917 %
epoch 133, minibatch 83/83, validation error 6.979167 %
epoch 134, minibatch 83/83, validation error 7.031250 %
epoch 135, minibatch 83/83, validation error 7.041667 %
epoch 136, minibatch 83/83, validation error 7.052083 %
epoch 137, minibatch 83/83, validation error 7.000000 %
epoch 138, minibatch 83/83, validation error 7.052083 %
epoch 139, minibatch 83/83, validation error 7.062500 %
epoch 140, minibatch 83/83, validation error 6.968750 %
epoch 141, minibatch 83/83, validation error 7.010417 %
epoch 142, minibatch 83/83, validation error 7.020833 %
epoch 143, minibatch 83/83, validation error 7.072917 %
epoch 144, minibatch 83/83, validation error 7.083333 %
epoch 145, minibatch 83/83, validation error 7.041667 %
epoch 146, minibatch 83/83, validation error 7.114583 %
epoch 147, minibatch 83/83, validation error 7.072917 %
epoch 148, minibatch 83/83, validation error 7.072917 %
epoch 149, minibatch 83/83, validation error 7.114583 %
epoch 150, minibatch 83/83, validation error 7.145833 %
epoch 151, minibatch 83/83, validation error 7.041667 %
epoch 152, minibatch 83/83, validation error 7.135417 %
epoch 153, minibatch 83/83, validation error 7.104167 %
epoch 154, minibatch 83/83, validation error 7.062500 %
epoch 155, minibatch 83/83, validation error 7.083333 %
epoch 156, minibatch 83/83, validation error 7.020833 %
epoch 157, minibatch 83/83, validation error 7.093750 %
epoch 158, minibatch 83/83, validation error 7.031250 %
epoch 159, minibatch 83/83, validation error 7.072917 %
epoch 160, minibatch 83/83, validation error 7.072917 %
epoch 161, minibatch 83/83, validation error 7.072917 %
epoch 162, minibatch 83/83, validation error 7.041667 %
epoch 163, minibatch 83/83, validation error 7.145833 %
epoch 164, minibatch 83/83, validation error 7.083333 %
epoch 165, minibatch 83/83, validation error 7.114583 %
epoch 166, minibatch 83/83, validation error 7.125000 %
epoch 167, minibatch 83/83, validation error 7.114583 %
epoch 168, minibatch 83/83, validation error 7.083333 %
epoch 169, minibatch 83/83, validation error 7.145833 %
epoch 170, minibatch 83/83, validation error 7.156250 %
epoch 171, minibatch 83/83, validation error 7.156250 %
epoch 172, minibatch 83/83, validation error 7.145833 %
epoch 173, minibatch 83/83, validation error 7.135417 %
epoch 174, minibatch 83/83, validation error 7.114583 %
epoch 175, minibatch 83/83, validation error 7.062500 %
epoch 176, minibatch 83/83, validation error 7.093750 %
epoch 177, minibatch 83/83, validation error 7.072917 %
epoch 178, minibatch 83/83, validation error 7.062500 %
epoch 179, minibatch 83/83, validation error 7.166667 %
epoch 180, minibatch 83/83, validation error 7.083333 %
epoch 181, minibatch 83/83, validation error 7.031250 %
epoch 182, minibatch 83/83, validation error 7.041667 %
epoch 183, minibatch 83/83, validation error 7.062500 %
epoch 184, minibatch 83/83, validation error 7.062500 %
epoch 185, minibatch 83/83, validation error 7.072917 %
epoch 186, minibatch 83/83, validation error 6.958333 %
epoch 187, minibatch 83/83, validation error 7.145833 %
epoch 188, minibatch 83/83, validation error 7.145833 %
epoch 189, minibatch 83/83, validation error 7.145833 %
epoch 190, minibatch 83/83, validation error 7.125000 %
epoch 191, minibatch 83/83, validation error 7.072917 %
epoch 192, minibatch 83/83, validation error 7.072917 %
epoch 193, minibatch 83/83, validation error 7.104167 %
epoch 194, minibatch 83/83, validation error 7.072917 %
epoch 195, minibatch 83/83, validation error 7.156250 %
epoch 196, minibatch 83/83, validation error 7.083333 %
epoch 197, minibatch 83/83, validation error 7.135417 %
epoch 198, minibatch 83/83, validation error 7.125000 %
epoch 199, minibatch 83/83, validation error 7.145833 %
epoch 200, minibatch 83/83, validation error 7.177083 %
epoch 201, minibatch 83/83, validation error 7.208333 %
epoch 202, minibatch 83/83, validation error 7.187500 %
epoch 203, minibatch 83/83, validation error 7.093750 %
Optimization complete with best validation score of 6.895833 %,with test performance 7.239583 %
The code run for 204 epochs, with 2.731151 epochs/sec
